target,database_names,status,file,display_name,organisation_identified,channel,source_url,reason
APSR,Oman Authority for Electricity Regulation,failed,,APSR,"Authority for Public Services Regulation (APSR), Oman, successor to the Authority for Electricity Regulation",,https://apsr.om/en/home,"Neither Wikipedia nor Commons has an APSR logo. apsr.om is a JavaScript app that loads its logo from a third-party platform API; no logo file is in the page or its bundle, and the only site icon is 256px."
Oman be'ah,Oman Environmental Services Holding Company; Oman Environmental Services Holding Company (be'ah),failed,,be'ah,"Oman Environmental Services Holding Company (be'ah), Oman",,https://beah.om/documents/d/guest/colored-logo-png,"beah.om's colour logo is only 223x183 px, and its large logo files (4500px footer logo, 566px logo) are white-only. There is no Wikipedia article or Commons file."
Oman Information Technology Authority,Oman Information Technology Authority,failed,,Oman Information Technology Authority,"Information Technology Authority (ITA), Oman, merged into the Ministry of Transport, Communications and IT",,,"ita.gov.om no longer resolves (its certificate is invalid and the proxy could not connect). Wikipedia and Commons have no ITA logo, so the last ITA logo could not be sourced."
Sukoon,Oman Insurance Company,done,sukoon.png,Sukoon Insurance,"Sukoon Insurance PJSC (formerly Oman Insurance Company), United Arab Emirates",wikimedia,https://upload.wikimedia.org/wikipedia/en/1/1b/Logo_of_Sukoon_Insurance.png,Raster source (511x195); the logo is 475px wide in a 532px tile.
Oman International Development & Investment Co (Ominvest),Oman International Development & Investment Co (Ominvest),done,ominvest.png,Ominvest,"Oman International Development and Investment Company SAOG (Ominvest), Oman",official-site,https://ominvest.com/assets/uploads/2023/05/ominvest_logo_lg.png,Bilingual English/Arabic logo; raster source 1000x278.
Oman LNG,Oman LNG,failed,,Oman LNG,"Oman LNG LLC, Oman",,https://omanlng.co.om/Style%20Library/assets/images/logo.png,The Wikipedia logo is 290x289 px and the site header logo is 296x224 px; both are below 400px. No SVG or larger file was found on omanlng.co.om.
Oman National Security Service Group (NSSG),Oman National Security Service Group (NSSG),failed,,NSSG,"National Security Services Group (NSSG), Oman cybersecurity company (reported merged with Dreamlab Technologies in 2024)",,,"There is no Wikipedia or Commons logo, and no official Oman NSSG website could be found (nssg.om does not resolve). nssg.global is a different, Italian-run business. If the note 'Oman security body' means a government service rather than this company, the identity is also unclear."
Oman Public Authority for Electricity and Water,Oman Public Authority for Electricity and Water,failed,,Oman Public Authority for Electricity and Water,"Public Authority for Electricity and Water (Diam), Oman, since abolished",,,"paew.gov.om is unreachable through the proxy, and WebFetch found no images on it. Wikipedia and Commons have no logo, so the last PAEW logo could not be sourced."
Oman Public Authority for Social Insurance,Oman Public Authority for Social Insurance,failed,,Oman Public Authority for Social Insurance,"Public Authority for Social Insurance (PASI), Oman, merged into the Social Protection Fund",,,pasi.gov.om and spf.gov.om cannot be reached (connection refused or timed out). Wikipedia and Commons have no PASI logo.
Oman Telecommunications Regulatory Authority,Oman Telecommunications Regulatory Authority,failed,,Oman TRA,"Telecommunications Regulatory Authority (TRA), Oman",,https://www.tra.gov.om/assets/images/tra-logo.png,"The site's colour logos are too small (tra-logo.png 286x87, tra.png 126x160), and the 400px version is white-only. No Wikipedia article or Commons file exists."
Oman Tourism Development Co (OMRAN),Oman Tourism Development Co (OMRAN),done,omran-group.png,OMRAN,"Oman Tourism Development Company (OMRAN Group), Oman",official-site,https://omran.om/site/img/logo.svg,Current black bilingual mark: Arabic monogram with OMRAN in Latin letters.
Omani Authority for Partnership and Development,Omani Authority for Partnership and Development,failed,,Omani Authority for Partnership for Development,"Omani Authority for Partnership for Development (OAPD), Oman, established 2014 by Royal Decree 9/2014, which has since been repealed",,,The body is defunct and oapd.gov.om is unreachable through the proxy. There is no Wikipedia or Commons logo.
Ooredoo,Ooredoo,done,ooredoo.png,Ooredoo,"Ooredoo Q.P.S.C., Qatar",wikimedia,https://upload.wikimedia.org/wikipedia/commons/a/a8/Ooredoo_logo.svg,
Open Society Initiative for West Africa (OSIWA),Open Society Initiative for West Africa (OSIWA),failed,,OSIWA,"Open Society Initiative for West Africa (OSIWA), Senegal, part of the Open Society Foundations network",,https://www.osiwa.org,"osiwa.org now redirects to the Open Society Foundations Africa page, which uses the OSF logo, and the archived OSIWA site is blocked. There is no Wikipedia or Commons OSIWA logo. If OSF counts as the successor, its logo could be used instead."
Organisation for Economic Co-operation and Development,Organisation for Economic Co-operation and Development,done,oecd.png,OECD,"Organisation for Economic Co-operation and Development, France (Paris)",wikimedia,https://upload.wikimedia.org/wikipedia/en/0/0d/OECD_logo_new.svg,
Overseas Development Institute,Overseas Development Institute,failed,,ODI,"ODI Global (formerly Overseas Development Institute), United Kingdom",,https://odi.org/en/,"odi.org blocks automated requests with Cloudflare, and a readable copy of the page listed no logo file. The only clean image found is a social thumbnail on a navy background. No Wikipedia or Commons logo was found."
OxfordAQA,Oxford International AQA Examinations,done,oxfordaqa.png,OxfordAQA,"Oxford International AQA Examinations (OxfordAQA), United Kingdom",official-site,https://www.oxfordaqa.com/wp-content/uploads/2026/05/OxfordAQA_Logo.svg,"Navy lockup with 'International Qualifications' strapline, from the site's media library."
PCNI,PCNI,failed,,PCNI,"Presidential Committee on the North East Initiative (PCNI), Nigeria; functions transferred to the North East Development Commission in 2019",,https://pcni.gov.ng/,"pcni.gov.ng does not resolve and there is no Wikipedia or Commons logo. The identity is also a best match only, since the note says the name is unclear."
PEN International,PEN International,done,pen-international.png,PEN International,"PEN International, United Kingdom (London)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/1/17/Pen_international.svg,"Black wordmark, which matches the black logo on pen-international.org."
Pakistan National Electric Power Regulatory Authority,Pakistan National Electric Power Regulatory Authority,failed,,NEPRA,"National Electric Power Regulatory Authority (NEPRA), Pakistan",,https://nepra.org.pk/assets/img/logo.png,"Both channels only have small rasters: the Wikipedia logo file is 250px and the site's header logo is 300x60 (with a 100px emblem), and there is no SVG, so the helper would have to upscale."
Palestine Investment Fund,Palestine Investment Fund,done,palestine-investment-fund.png,Palestine Investment Fund,"Palestine Investment Fund, Palestine",official-site,https://www.pif.ps/img/logo.png,"Bilingual Arabic/English lockup with tagline, as used in the site header."
Palestine Monetary Authority,Palestine Monetary Authority,done,palestine-monetary-authority.png,Palestine Monetary Authority,"Palestine Monetary Authority, Palestine",official-site,https://www.pma.ps/assets/pma-logo-ar-DpFx0GvS.png,Bilingual logo from the site. The Wikipedia file was too small (336px).
Paula's Choice,Paula's Choice,done,paulas-choice.png,Paula's Choice,"Paula's Choice (skincare brand), Netherlands/US",official-site,https://www.paulaschoice.com/on/demandware.static/-/Library-Sites-paulachoice/default/dw8b4ff1a6/images/header/logo.svg,The site uses a wordmark only; this SVG is from the site header.
Peace Brigades International,Peace Brigades International,done,peace-brigades-international.png,Peace Brigades International,Peace Brigades International (PBI),official-site,https://peacebrigades.org/sites/default/files/files/PBI-logo-main.png,Current pbi mark from the site. Wikimedia was rate-limited (429) when this was sourced.
Permanent Representation of Latvia to the EU,Permanent Representation of Latvia to the EU,done,latvia-coat-of-arms.png,Permanent Representation of Latvia to the EU,Permanent Representation of the Republic of Latvia to the European Union (Brussels),wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Coat_of_arms_of_Latvia.svg/1280px-Coat_of_arms_of_Latvia.svg.png,"Treated as a diplomatic mission, so it uses Latvia's (greater) coat of arms. Built from the Wikimedia PNG render because the SVG original was rate-limited."
Personio HR Operating System,Personio HR Operating System,done,personio.png,Personio,"Personio SE and Co. KG (HR software), Germany",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Personio_logo_%282024%29.svg/1280px-Personio_logo_%282024%29.svg.png,"2024 logo, built from the Wikimedia PNG render of the SVG."
Petro Rabigh,Petro Rabigh,done,petro-rabigh.png,Petro Rabigh,"Rabigh Refining and Petrochemical Company (Petro Rabigh), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Petro_Rabigh_-_Logo.svg/1280px-Petro_Rabigh_-_Logo.svg.png,Bilingual lockup. The official site was unreachable.
Petrochad (ExxonMobil/Esso),Petrochad (ExxonMobil/Esso),exists,exxonmobil.png,ExxonMobil,"Esso Exploration and Production Chad (ExxonMobil affiliate), Chad; parent Exxon Mobil Corporation, USA",wikimedia,https://upload.wikimedia.org/wikipedia/commons/1/18/Exxon_Mobil_Logo.svg,"Used the parent_group ExxonMobil. exxonmobil.png is already in out/logos (made earlier in this run, not yet in the manifest) and is the same organisation, so no new file. The library also has esso.png if Will prefers the Esso mark."
Petroleum Technology Development Fund,Petroleum Technology Development Fund,done,petroleum-technology-development-fund.png,Petroleum Technology Development Fund,"Petroleum Technology Development Fund (PTDF), Nigeria",official-site,https://cms.ptdf.gov.ng/uploads/ptdf_logo_f52473aa3f.png,No Wikipedia page or file. The seal logo (522px) is from the site CMS.
Philippines Department of Finance,Philippines Department of Finance,done,philippines-department-of-finance.png,Philippines Department of Finance,"Department of Finance, Republic of the Philippines",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Department_of_Finance_%28DOF%29.svg/1280px-Department_of_Finance_%28DOF%29.svg.png,Uses the department's own seal.
Port of Fujairah,Port of Fujairah,done,port-of-fujairah.png,Port of Fujairah,"Port of Fujairah, Fujairah, UAE",official-site,https://fujairahport.ae/,Inline SVG main_logo_whitebg (emblem plus name) taken from the site header and saved locally.
Preqin,Preqin,done,preqin.png,Preqin,"Preqin Ltd (alternative assets data, now part of BlackRock), UK",official-site,https://images.ctfassets.net/zf87m07ner47/2JxBHM4fmVBOCmvOzfHTHK/e4239f13c827244699a51e147e480cc4/Preqin-logo-colour.png,"Current colour logo, including the line 'a part of BlackRock'. The site's header SVG is white-only."
Priory Group,Priory Group,done,priory-group.png,Priory,"Priory Group (Priory Healthcare), United Kingdom",official-site,https://www.priorygroup.com/media/y0jlu3qg/new-logo-banner-2026-1.png,"Wikipedia's logo (the old green and red PRIORY wordmark) is out of date, so I rejected it. The 2026 rebrand uses a new 'Priory' wordmark. The header file is only 304x88, so I cropped the logo from the white area of the official 3840px brand-launch banner on priorygroup.com."
QA,QA,done,qa.png,QA,"QA Ltd (tech training and apprenticeships), United Kingdom",official-site,https://www.qa.com/,"Inline header SVG logo from qa.com, saved locally."
Qatar Airways,Qatar Airways,done,qatar-airways.png,Qatar Airways,"Qatar Airways Company Q.C.S.C., Qatar",wikimedia,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/1280px-Qatar_Airways_Logo.svg.png,Bilingual lockup with the oryx.
Qatar Defence Attaché,Qatar Defence Attaché,done,qatar-coat-of-arms.png,Qatar Defence Attaché,"Office of the Defence Attaché of the State of Qatar (Qatar Armed Forces, attached to the embassy)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Emblem_of_Qatar-2022.svg/1280px-Emblem_of_Qatar-2022.svg.png,"An attaché office has no mark of its own, so this uses the emblem of Qatar (2022 version), following the embassy rule. The Qatar Armed Forces emblem could be used instead if Will prefers."
QIB,Qatar Islamic Bank Sudan,done,qatar-islamic-bank.png,QIB,"Qatar Islamic Bank (QIB), Qatar; parent of Qatar Islamic Bank Sudan",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Logo_Qatar_Islamic_Bank.svg/960px-Logo_Qatar_Islamic_Bank.svg.png,"Parent QIB logo, as the note directs. The Arabic wordmark is part of the official lockup. The site header version is white-only."
Qatar Stars League (QSL),Qatar Stars League (QSL),done,qatar-stars-league.png,Qatar Stars League,"Qatar Stars League (QSL) Management, Qatar",official-site,https://www.qsl.qa/sites/default/files/2023-09/QSL%20.zip,Stacked bilingual logo (QSL_Logo_Port_CMYK.png) from the QSL brand kit on qsl.qa/ar/logos. The Wikipedia file was only 100px. The league's current season sponsor titles are not used.
